Navn;Stasjon;Tid(norsk normaltid);Nedbør (mnd)
Smestad Ii;SN18850;11.1953;48
Smestad Ii;SN18850;12.1953;40
Smestad Ii;SN18850;01.1954;58
Smestad Ii;SN18850;02.1954;42
Smestad Ii;SN18850;03.1954;44
Smestad Ii;SN18850;04.1954;15
Smestad Ii;SN18850;05.1954;56
Smestad Ii;SN18850;06.1954;66
Smestad Ii;SN18850;07.1954;84
Smestad Ii;SN18850;08.1954;67
Smestad Ii;SN18850;09.1954;109
Smestad Ii;SN18850;10.1954;79
Smestad Ii;SN18850;11.1954;97
Smestad Ii;SN18850;12.1954;69
Smestad Ii;SN18850;01.1955;29
Smestad Ii;SN18850;02.1955;34
Smestad Ii;SN18850;03.1955;3
Smestad Ii;SN18850;04.1955;31
Smestad Ii;SN18850;05.1955;76
Smestad Ii;SN18850;06.1955;50
Smestad Ii;SN18850;07.1955;12
Smestad Ii;SN18850;08.1955;36
Smestad Ii;SN18850;09.1955;105
Smestad Ii;SN18850;10.1955;48
Smestad Ii;SN18850;11.1955;54
Smestad Ii;SN18850;12.1955;38
Smestad Ii;SN18850;01.1956;51
Smestad Ii;SN18850;02.1956;6
Smestad Ii;SN18850;03.1956;16
Smestad Ii;SN18850;04.1956;22
Smestad Ii;SN18850;05.1956;17
Smestad Ii;SN18850;06.1956;106
Smestad Ii;SN18850;07.1956;58
Smestad Ii;SN18850;08.1956;87
Smestad Ii;SN18850;09.1956;89
Smestad Ii;SN18850;10.1956;18
Smestad Ii;SN18850;11.1956;35
Smestad Ii;SN18850;12.1956;27
Smestad Ii;SN18850;01.1957;48,9
Smestad Ii;SN18850;02.1957;60,8
Smestad Ii;SN18850;03.1957;23,4
Smestad Ii;SN18850;04.1957;35,5
Smestad Ii;SN18850;05.1957;40,7
Smestad Ii;SN18850;06.1957;94,3
Smestad Ii;SN18850;07.1957;100
Smestad Ii;SN18850;08.1957;127,2
Smestad Ii;SN18850;09.1957;99,7
Smestad Ii;SN18850;10.1957;72,1
Smestad Ii;SN18850;11.1957;53,8
Smestad Ii;SN18850;12.1957;3,1
Smestad Ii;SN18850;01.1958;30,2
Smestad Ii;SN18850;02.1958;31,3
Smestad Ii;SN18850;03.1958;5,2
Smestad Ii;SN18850;04.1958;39,2
Smestad Ii;SN18850;05.1958;69,8
Smestad Ii;SN18850;06.1958;74,4
Smestad Ii;SN18850;07.1958;95,4
Smestad Ii;SN18850;08.1958;86
Smestad Ii;SN18850;09.1958;49,9
Smestad Ii;SN18850;10.1958;122,6
Smestad Ii;SN18850;11.1958;50
Smestad Ii;SN18850;12.1958;58,9
Smestad Ii;SN18850;01.1959;48
Smestad Ii;SN18850;02.1959;1,6
Smestad Ii;SN18850;03.1959;58,9
Smestad Ii;SN18850;04.1959;109,2
Smestad Ii;SN18850;05.1959;22,8
Smestad Ii;SN18850;06.1959;15,1
Smestad Ii;SN18850;07.1959;62,5
Smestad Ii;SN18850;08.1959;45,6
Smestad Ii;SN18850;09.1959;13,4
Smestad Ii;SN18850;10.1959;132,9
Smestad Ii;SN18850;11.1959;143,1
Smestad Ii;SN18850;12.1959;144,1
Smestad Ii;SN18850;01.1960;73
Smestad Ii;SN18850;02.1960;27
Smestad Ii;SN18850;03.1960;29,1
Smestad Ii;SN18850;04.1960;18,6
Smestad Ii;SN18850;05.1960;17,1
Smestad Ii;SN18850;06.1960;96,5
Smestad Ii;SN18850;07.1960;171,4
Smestad Ii;SN18850;08.1960;114,2
Smestad Ii;SN18850;09.1960;44,7
Smestad Ii;SN18850;10.1960;78,1
Smestad Ii;SN18850;11.1960;143,4
Smestad Ii;SN18850;12.1960;69,1
Smestad Ii;SN18850;01.1961;47,7
Smestad Ii;SN18850;02.1961;42,8
Smestad Ii;SN18850;03.1961;30,8
Smestad Ii;SN18850;04.1961;15,8
Smestad Ii;SN18850;05.1961;41,9
Smestad Ii;SN18850;06.1961;59,2
Smestad Ii;SN18850;07.1961;56,6
Smestad Ii;SN18850;08.1961;61,1
Smestad Ii;SN18850;09.1961;135,2
Smestad Ii;SN18850;10.1961;149,3
Smestad Ii;SN18850;11.1961;88,7
Smestad Ii;SN18850;12.1961;36,4
Smestad Ii;SN18850;01.1962;58,3
Smestad Ii;SN18850;02.1962;37,7
Smestad Ii;SN18850;03.1962;28,9
Smestad Ii;SN18850;04.1962;62,4
Smestad Ii;SN18850;05.1962;88,5
Smestad Ii;SN18850;06.1962;45,8
Smestad Ii;SN18850;07.1962;97,8
Smestad Ii;SN18850;08.1962;156,7
Smestad Ii;SN18850;09.1962;70,8
Smestad Ii;SN18850;10.1962;36,3
Smestad Ii;SN18850;11.1962;61,5
Smestad Ii;SN18850;12.1962;44,8
Smestad Ii;SN18850;01.1963;4,2
Smestad Ii;SN18850;02.1963;4,3
Smestad Ii;SN18850;03.1963;20,2
Smestad Ii;SN18850;04.1963;71,6
Smestad Ii;SN18850;05.1963;118,9
Smestad Ii;SN18850;06.1963;64,3
Smestad Ii;SN18850;07.1963;51,9
Smestad Ii;SN18850;08.1963;145,2
Smestad Ii;SN18850;09.1963;100,7
Smestad Ii;SN18850;10.1963;61
Smestad Ii;SN18850;11.1963;107
Smestad Ii;SN18850;12.1963;5,6
Smestad Ii;SN18850;01.1964;14
Smestad Ii;SN18850;02.1964;19
Smestad Ii;SN18850;03.1964;0,5
Smestad Ii;SN18850;04.1964;33
Smestad Ii;SN18850;05.1964;42
Smestad Ii;SN18850;06.1964;129,8
Smestad Ii;SN18850;07.1964;73,4
Smestad Ii;SN18850;08.1964;63,5
Smestad Ii;SN18850;09.1964;92,6
